189.18.84.0/24,BR,BR-SP,São Paulo, 
177.62.254.0/24,BR,BR-SP,São Paulo, 
179.193.49.0/24,BR,BR-SP,Osasco, 
189.68.254.0/24,BR,BR-SP,Jundiaí, 
187.89.107.0/24,BR,BR-SP,São Paulo, 
177.189.92.0/24,BR,BR-SP,São Paulo, 
177.103.60.0/24,BR,BR-SP,São Paulo, 
179.110.186.0/24,BR,BR-SP,São Paulo, 
177.26.123.0/24,BR,BR-SP,São Paulo, 
179.110.148.0/24,BR,BR-SP,São Paulo, 
177.171.6.0/24,BR,BR-SP,Campinas, 
201.93.248.0/24,BR,BR-SP,São Paulo, 
152.250.222.0/24,BR,BR-SP,Ribeirão Preto, 
179.94.210.0/24,BR,BR-SP,São Paulo, 
177.161.145.0/24,BR,BR-SP,Valinhos, 
179.111.11.0/24,BR,BR-SP,Limeira, 
187.90.108.0/24,BR,BR-SP,Praia Grande, 
201.42.31.0/24,BR,BR-SP,São Paulo, 
177.102.66.0/24,BR,BR-SP,Guarulhos, 
177.189.75.0/24,BR,BR-SP,Bragança Paulista, 
201.92.64.0/24,BR,BR-SP,São Paulo, 
191.9.120.0/24,BR,BR-SP,São Paulo, 
189.79.16.0/24,BR,BR-SP,São Paulo, 
177.26.120.0/24,BR,BR-SP,São Bernardo Do Campo, 
177.132.185.0/24,BR,BR-SP,Araçatuba, 
201.43.36.0/24,BR,BR-SP,São Paulo, 
177.26.112.0/24,BR,BR-SP,São Paulo, 
189.78.168.0/24,BR,BR-SP,Itaquaquecetuba, 
177.189.103.0/24,BR,BR-SP,Guarulhos, 
177.26.114.0/24,BR,BR-SP,São Paulo, 
152.243.192.0/24,BR,BR-SP,São Caetano Do Sul, 
187.56.192.0/24,BR,BR-SP,São Paulo, 
201.1.3.0/24,BR,BR-SP,Piracicaba, 
201.95.59.0/24,BR,BR-SP,Atibaia, 
177.102.15.0/24,BR,BR-SP,São Paulo, 
179.93.24.0/24,BR,BR-SP,São José Dos Campos, 
179.113.2.0/24,BR,BR-SP,Mogi Das Cruzes, 
201.87.116.0/24,BR,BR-SP,São Paulo, 
191.255.14.0/24,BR,BR-SP,São Paulo, 
191.9.114.0/24,BR,BR-SP,São Bernardo Do Campo, 
177.132.188.0/24,BR,BR-SP,Presidente Prudente, 
177.170.209.0/24,BR,BR-SP,Itatiba, 
187.74.112.0/24,BR,BR-SP,São José Dos Campos, 
179.193.115.0/24,BR,BR-SP,Taubaté, 
201.68.198.0/24,BR,BR-SP,São Paulo, 
